V1,V2,V3,V4,V5,V6,V7,V8,V9,class
26.0,11.0,43.0,48.0,23.0,93.0,101.0,43.0,37.0,1
20.0,14.0,41.0,45.0,6.0,57.0,5.0,44.0,27.0,1
37.0,93.0,33.0,96.0,11.0,34.0,75.0,70.0,67.0,1
65.0,65.0,41.0,103.0,53.0,17.0,79.0,78.0,80.0,1
36.0,63.0,25.0,104.0,70.0,103.0,84.0,98.0,56.0,1
41.0,29.0,52.0,91.0,79.0,51.0,11.0,83.0,58.0,1
38.0,24.0,88.0,88.0,96.0,65.0,12.0,81.0,60.0,1
22.0,51.0,53.0,76.0,35.0,97.0,28.0,64.0,38.0,1
66.0,20.0,36.0,51.0,28.0,77.0,45.0,6.0,78.0,1
46.0,47.0,40.0,98.0,100.0,41.0,22.0,90.0,64.0,1
63.0,48.0,30.0,29.0,17.0,22.0,47.0,104.0,81.0,1
89.0,90.0,65.0,58.0,63.0,84.0,54.0,27.0,20.0,1
55.0,58.0,3.0,100.0,62.0,11.0,48.0,87.0,75.0,1
67.0,86.0,54.0,68.0,75.0,16.0,37.0,49.0,19.0,1
76.0,62.0,10.0,21.0,98.0,68.0,15.0,103.0,10.0,1
10.0,85.0,77.0,75.0,83.0,101.0,67.0,30.0,36.0,1
18.0,73.0,74.0,59.0,58.0,62.0,63.0,18.0,44.0,1
79.0,33.0,63.0,89.0,15.0,28.0,70.0,89.0,91.0,1
38.0,2.0,76.0,105.0,36.0,61.0,51.0,99.0,43.0,1
62.0,94.0,67.0,40.0,60.0,70.0,21.0,7.0,68.0,1
33.0,67.0,72.0,80.0,37.0,92.0,68.0,56.0,47.0,1
83.0,34.0,12.0,7.0,89.0,12.0,60.0,100.0,99.0,1
39.0,55.0,78.0,64.0,85.0,9.0,36.0,47.0,63.0,1
8.0,68.0,5.0,61.0,32.0,94.0,20.0,55.0,14.0,1
28.0,88.0,41.0,35.0,21.0,104.0,30.0,28.0,89.0,1
19.0,91.0,60.0,86.0,29.0,15.0,61.0,67.0,45.0,1
70.0,54.0,1.0,28.0,13.0,53.0,56.0,65.0,76.0,1
43.0,36.0,2.0,93.0,45.0,91.0,13.0,82.0,52.0,1
90.0,19.0,4.0,1.0,95.0,18.0,49.0,62.0,4.0,1
58.0,89.0,66.0,84.0,44.0,55.0,83.0,5.0,83.0,1
47.0,77.0,59.0,102.0,9.0,30.0,72.0,76.0,70.0,1
50.0,7.0,95.0,9.0,87.0,66.0,81.0,12.0,85.0,1
60.0,74.0,36.0,6.0,26.0,44.0,76.0,92.0,79.0,1
82.0,69.0,24.0,2.0,43.0,27.0,82.0,10.0,97.0,1
29.0,66.0,32.0,52.0,34.0,105.0,52.0,101.0,54.0,1
45.0,84.0,81.0,55.0,73.0,54.0,55.0,2.0,15.0,1
57.0,18.0,6.0,31.0,16.0,88.0,27.0,86.0,69.0,1
38.0,44.0,42.0,46.0,31.0,3.0,42.0,9.0,61.0,1
21.0,71.0,30.0,54.0,74.0,95.0,44.0,24.0,42.0,1
21.0,71.0,30.0,54.0,74.0,95.0,44.0,24.0,42.0,1
27.0,60.0,26.0,85.0,47.0,98.0,33.0,72.0,35.0,1
10.0,78.0,46.0,72.0,80.0,89.0,38.0,54.0,33.0,1
13.0,79.0,37.0,71.0,68.0,73.0,43.0,52.0,34.0,1
74.0,15.0,64.0,56.0,42.0,7.0,31.0,45.0,87.0,1
86.0,21.0,56.0,83.0,8.0,19.0,57.0,66.0,3.0,1
9.0,46.0,31.0,23.0,3.0,72.0,17.0,51.0,24.0,1
88.0,59.0,50.0,26.0,7.0,74.0,23.0,91.0,11.0,1
40.0,70.0,49.0,24.0,105.0,71.0,19.0,29.0,65.0,1
1.0,82.0,91.0,34.0,104.0,64.0,32.0,105.0,41.0,1
87.0,92.0,89.0,32.0,97.0,59.0,91.0,32.0,5.0,0
61.0,4.0,85.0,77.0,56.0,47.0,99.0,84.0,86.0,0
91.0,28.0,20.0,42.0,18.0,87.0,105.0,39.0,62.0,0
71.0,39.0,87.0,18.0,88.0,75.0,40.0,16.0,98.0,0
68.0,98.0,82.0,101.0,59.0,48.0,98.0,1.0,88.0,0
72.0,80.0,44.0,41.0,38.0,39.0,85.0,41.0,90.0,0
51.0,76.0,17.0,5.0,2.0,20.0,66.0,96.0,72.0,0
48.0,81.0,70.0,62.0,30.0,32.0,71.0,4.0,74.0,0
81.0,103.0,80.0,14.0,5.0,85.0,8.0,15.0,29.0,0
77.0,104.0,84.0,11.0,94.0,67.0,4.0,13.0,6.0,0
75.0,61.0,92.0,39.0,41.0,81.0,94.0,37.0,100.0,0
85.0,5.0,15.0,30.0,84.0,86.0,104.0,26.0,8.0,0
80.0,102.0,19.0,65.0,82.0,76.0,6.0,8.0,102.0,0
69.0,50.0,83.0,12.0,99.0,78.0,103.0,14.0,94.0,0
84.0,6.0,57.0,38.0,4.0,63.0,92.0,36.0,104.0,0
73.0,72.0,73.0,36.0,1.0,79.0,100.0,35.0,96.0,0
44.0,101.0,5.0,8.0,33.0,45.0,80.0,97.0,71.0,0
54.0,95.0,68.0,73.0,49.0,60.0,87.0,3.0,82.0,0
59.0,3.0,90.0,33.0,92.0,46.0,64.0,33.0,93.0,0
53.0,100.0,96.0,20.0,90.0,56.0,69.0,22.0,92.0,0
85.0,96.0,71.0,95.0,54.0,42.0,62.0,53.0,105.0,0
7.0,10.0,45.0,74.0,52.0,8.0,102.0,63.0,95.0,0
64.0,49.0,39.0,22.0,51.0,83.0,18.0,11.0,2.0,0
4.0,32.0,1.0,19.0,48.0,14.0,93.0,20.0,1.0,0
92.0,57.0,34.0,25.0,61.0,23.0,86.0,25.0,40.0,0
34.0,13.0,14.0,60.0,81.0,2.0,3.0,58.0,53.0,0
95.0,99.0,16.0,13.0,64.0,36.0,35.0,19.0,51.0,0
93.0,87.0,61.0,27.0,76.0,35.0,59.0,31.0,103.0,0
94.0,26.0,38.0,17.0,50.0,21.0,34.0,21.0,7.0,0
12.0,75.0,13.0,70.0,91.0,10.0,90.0,61.0,101.0,0
23.0,53.0,35.0,99.0,77.0,26.0,41.0,93.0,16.0,0
16.0,52.0,29.0,67.0,103.0,37.0,29.0,59.0,84.0,0
52.0,35.0,21.0,87.0,67.0,5.0,97.0,80.0,73.0,0
2.0,40.0,38.0,90.0,101.0,38.0,53.0,85.0,77.0,0
56.0,45.0,28.0,97.0,65.0,25.0,73.0,94.0,28.0,0
25.0,16.0,9.0,69.0,25.0,82.0,77.0,60.0,31.0,0
11.0,38.0,7.0,47.0,78.0,13.0,96.0,50.0,12.0,0
25.0,64.0,94.0,79.0,66.0,40.0,78.0,77.0,49.0,0
5.0,1.0,18.0,3.0,20.0,33.0,88.0,88.0,13.0,0
6.0,17.0,47.0,53.0,10.0,1.0,65.0,40.0,39.0,0
17.0,9.0,23.0,10.0,57.0,31.0,1.0,95.0,26.0,0
14.0,37.0,27.0,37.0,14.0,96.0,9.0,23.0,23.0,0
32.0,41.0,86.0,81.0,46.0,102.0,46.0,68.0,48.0,0
11.0,48.0,74.0,57.0,22.0,80.0,26.0,48.0,21.0,0
15.0,12.0,51.0,43.0,102.0,52.0,89.0,34.0,25.0,0
11.0,25.0,62.0,66.0,19.0,69.0,2.0,57.0,17.0,0
14.0,31.0,80.0,49.0,40.0,49.0,25.0,38.0,22.0,0
3.0,8.0,8.0,44.0,93.0,43.0,7.0,42.0,9.0,0
49.0,42.0,69.0,92.0,55.0,100.0,50.0,75.0,66.0,0
31.0,22.0,93.0,63.0,39.0,6.0,58.0,17.0,59.0,0
35.0,43.0,79.0,94.0,69.0,4.0,39.0,79.0,46.0,0
24.0,23.0,55.0,50.0,24.0,90.0,10.0,46.0,30.0,0
24.0,56.0,48.0,82.0,72.0,29.0,24.0,71.0,32.0,0
42.0,97.0,75.0,16.0,27.0,24.0,74.0,73.0,57.0,0
78.0,30.0,22.0,78.0,12.0,58.0,16.0,69.0,18.0,0
30.0,83.0,58.0,15.0,86.0,50.0,14.0,74.0,50.0,0
42.0,27.0,11.0,4.0,71.0,99.0,95.0,102.0,55.0,0
