country,count,class
Albania,478000.0,1
Austria,2536000.0,1
Belgium,3246000.0,1
Bulgaria,1796000.0,1
Czechoslovakia,5131000.0,1
Denmark,2873000.0,1
West_Germany,15098000.0,1
Finland,1719000.0,1
France,23599000.0,1
East_Germany,5690000.0,1
Greece,831000.0,1
Hungary,1922000.0,1
Ireland,6908000.0,1
Italy,8734000.0,1
Netherlands,5241000.0,1
Norway,971000.0,1
Poland,11912000.0,1
Portugal,1173000.0,1
Romania,6303000.0,1
Spain,4495000.0,1
Sweden,1902000.0,1
Switzerland,1954000.0,1
Turkey,16983000.0,1
United_Kingdom,13155000.0,1
Russia_et_al.,42200000.0,1
Yugoslavia,5474000.0,1
Albania,125000.0,0
Austria,3920000.0,0
Belgium,5108000.0,0
Bulgaria,3808000.0,0
Czechoslovakia,7126000.0,0
Denmark,9317000.0,0
West_Germany,22478000.0,0
Finland,1475000.0,0
France,11711000.0,0
East_Germany,12107000.0,0
Greece,1107000.0,0
Hungary,9035000.0,0
Ireland,1031000.0,0
Italy,8928000.0,0
Netherlands,10254000.0,0
Norway,687000.0,0
Poland,19471000.0,0
Portugal,2448000.0,0
Romania,12464000.0,0
Spain,11263000.0,0
Sweden,2677000.0,0
Switzerland,2071000.0,0
Turkey,11000.0,0
United_Kingdom,7975000.0,0
Russia_et_al.,33100000.0,0
Yugoslavia,7867000.0,0
Albania,484000.0,0
Austria,11371000.0,0
Belgium,29448000.0,0
Bulgaria,41096000.0,0
Czechoslovakia,49212000.0,0
Denmark,16296000.0,0
West_Germany,83033000.0,0
Finland,7763000.0,0
France,234131000.0,0
East_Germany,51356000.0,0
Greece,29846000.0,0
Hungary,45397000.0,0
Ireland,9903000.0,0
Italy,137999000.0,0
Netherlands,88174000.0,0
Norway,5571000.0,0
Poland,67244000.0,0
Portugal,4143000.0,0
Romania,109244000.0,0
Spain,42824000.0,0
Sweden,11393000.0,0
Switzerland,6188000.0,0
Turkey,59660000.0,0
United_Kingdom,130018000.0,0
Russia_et_al.,385000000.0,0
Yugoslavia,65690000.0,0
Albania,43000.0,0
Austria,35000.0,0
Belgium,31000.0,0
Bulgaria,120000.0,0
Czechoslovakia,44000.0,0
Denmark,41000.0,0
West_Germany,369000.0,0
Finland,20000.0,0
France,278000.0,0
East_Germany,81000.0,0
Greece,420000.0,0
Hungary,120000.0,0
Ireland,68000.0,0
Italy,273000.0,0
Netherlands,59000.0,0
Norway,25000.0,0
Poland,1734000.0,0
Portugal,23000.0,0
Romania,566000.0,0
Spain,242000.0,0
Sweden,57000.0,0
Switzerland,45000.0,0
Turkey,784000.0,0
United_Kingdom,140000.0,0
Russia_et_al.,1556000.0,0
Yugoslavia,573000.0,0
Albania,914000.0,0
Austria,326000.0,0
Belgium,123000.0,0
Bulgaria,11271000.0,0
Czechoslovakia,990000.0,0
Denmark,58000.0,0
West_Germany,1172000.0,0
Finland,104000.0,0
France,14346000.0,0
East_Germany,2220000.0,0
Greece,12669000.0,0
Hungary,3183000.0,0
Ireland,3323000.0,0
Italy,10497000.0,0
Netherlands,1210000.0,0
Norway,1999000.0,0
Poland,3899000.0,0
Portugal,2811000.0,0
Romania,17748000.0,0
Spain,16543000.0,0
Sweden,437000.0,0
Switzerland,336000.0,0
Turkey,70093000.0,0
United_Kingdom,32888000.0,0
Russia_et_al.,21000000.0,0
Yugoslavia,7384000.0,0
