name,sample,Test_size,alpha,actual_prop,pred_prop,abs_error,quantifier,threshold
cmc,1,10,0.5,0.5,0.3,0.2,CC,0.2
cmc,1,10,0.5,0.5,1.0,0.5,ACC,0.2
cmc,1,10,0.5,0.5,0.61,0.11,PCC,0.2
cmc,1,10,0.5,0.5,0.0,0.5,PACC,0.2
cmc,1,10,0.5,0.5,0.82,0.32,X,0.2
cmc,1,10,0.5,0.5,1.0,0.5,MAX,0.2
cmc,1,10,0.5,0.5,0.62,0.12,T50,0.2
cmc,1,10,0.5,0.5,0.79,0.29,MS,0.2
cmc,1,10,0.5,0.5,0.74,0.24,HDy,0.2
cmc,1,10,0.5,0.5,0.97,0.47,DyS,0.2
cmc,1,10,0.5,0.5,0.78,0.28,SORD,0.2
cmc,1,10,0.5,0.5,0.2,0.3,CC,0.5
cmc,1,10,0.5,0.5,1.0,0.5,ACC,0.5
cmc,1,10,0.5,0.5,0.54,0.04,PCC,0.5
cmc,1,10,0.5,0.5,0.0,0.5,PACC,0.5
cmc,1,10,0.5,0.5,0.09,0.41,X,0.5
cmc,1,10,0.5,0.5,0.47,0.03,MAX,0.5
cmc,1,10,0.5,0.5,0.15,0.35,T50,0.5
cmc,1,10,0.5,0.5,0.34,0.16,MS,0.5
cmc,1,10,0.5,0.5,0.65,0.15,HDy,0.5
cmc,1,10,0.5,0.5,0.86,0.36,DyS,0.5
cmc,1,10,0.5,0.5,0.23,0.27,SORD,0.5
spambase,1,10,0.5,0.5,0.5,0.0,CC,0.2
spambase,1,10,0.5,0.5,0.41,0.09,ACC,0.2
spambase,1,10,0.5,0.5,0.48,0.02,PCC,0.2
spambase,1,10,0.5,0.5,0.32,0.18,PACC,0.2
spambase,1,10,0.5,0.5,0.5,0.0,X,0.2
spambase,1,10,0.5,0.5,0.49,0.01,MAX,0.2
spambase,1,10,0.5,0.5,0.38,0.12,T50,0.2
spambase,1,10,0.5,0.5,0.45,0.05,MS,0.2
spambase,1,10,0.5,0.5,0.47,0.03,HDy,0.2
spambase,1,10,0.5,0.5,0.49,0.01,DyS,0.2
spambase,1,10,0.5,0.5,0.46,0.04,SORD,0.2
spambase,1,10,0.5,0.5,0.3,0.2,CC,0.5
spambase,1,10,0.5,0.5,0.41,0.09,ACC,0.5
spambase,1,10,0.5,0.5,0.47,0.03,PCC,0.5
spambase,1,10,0.5,0.5,0.29,0.21,PACC,0.5
spambase,1,10,0.5,0.5,0.5,0.0,X,0.5
spambase,1,10,0.5,0.5,0.49,0.01,MAX,0.5
spambase,1,10,0.5,0.5,0.38,0.12,T50,0.5
spambase,1,10,0.5,0.5,0.44,0.06,MS,0.5
spambase,1,10,0.5,0.5,0.47,0.03,HDy,0.5
spambase,1,10,0.5,0.5,0.46,0.04,DyS,0.5
spambase,1,10,0.5,0.5,0.44,0.06,SORD,0.5
